onet_soc,title,R1,R2,R3,employment,union
13-1075.00,Labor Relations Specialists,-1.31578,0.26071,0.435179,64590,0.0660362
13-1081.00,Logisticians,-0.650715,1.02529,0.143413,235640,0.075973
13-1081.01,Logistics Engineers,-0.366443,1.51257,-0.871678,235640,0.075973
13-1081.02,Logistics Analysts,-0.762886,0.8326,-0.508026,235640,0.075973
13-1111.00,Management Analysts,-0.970522,1.21676,0.318836,893900,0.0413517
13-1121.00,"Meeting, Convention, and Event Planners",-0.119062,0.88206,1.11566,134670,0.0287466
13-1131.00,Fundraisers,-1.41725,0.407956,0.409975,105930,0.029014
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",-1.41962,0.108868,-0.517621,102370,0.0681471
13-1151.00,Training and Development Specialists,-1.10582,0.638637,0.57253,436610,0.0506278
13-1161.00,Market Research Analysts and Marketing Specialists,-1.4727,0.718088,-0.591706,861140,0.0120047
13-1161.01,Search Marketing Strategists,-1.59635,0.478898,-0.999488,861140,0.0120047
13-1199.04,Business Continuity Planners,-1.10402,0.983395,-0.469006,1128200,0.0716403
13-1199.05,Sustainability Specialists,-1.0028,0.693162,-0.273341,1128200,0.0716403
13-1199.06,Online Merchants,-1.29493,-0.215676,-0.566755,1128200,0.0716403
13-1199.07,Security Management Specialists,0.166605,1.34064,0.553552,1128200,0.0716403
13-2011.00,Accountants and Auditors,-1.20747,0.361306,-0.354444,1448290,0.0477961
13-2022.00,Appraisers of Personal and Business Property,-0.593199,0.409263,-0.713184,55130,0.0505828
13-2023.00,Appraisers and Assessors of Real Estate,-0.696234,0.00613883,-1.12785,55130,0.0505828
13-2031.00,Budget Analysts,-1.25829,0.234468,-1.0222,47170,0.197928
13-2041.00,Credit Analysts,-1.69604,-0.171031,-1.45634,67370,0
13-2052.00,Personal Financial Advisors,-1.63482,0.532914,-0.68624,270480,0.0146179
13-2053.00,Insurance Underwriters,-1.48644,-0.15228,-0.64735,107820,0.0189177
13-2061.00,Financial Examiners,-1.24596,0.844644,-0.634048,62830,0.113983
13-2071.00,Credit Counselors,-1.65331,-0.320825,-0.0111591,28110,0.0337701
13-2072.00,Loan Officers,-1.24702,0.163846,-0.104141,290530,0.0337701
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",-1.20735,0.0543383,-0.0351596,53530,0.429378
13-2082.00,Tax Preparers,-1.56795,-0.494649,-0.894657,73570,0.0391398
13-2099.01,Financial Quantitative Analysts,-1.53577,0.502783,-1.91326,127450,0.0453521
13-2099.04,"Fraud Examiners, Investigators and Analysts",-0.823484,0.820351,0.346837,127450,0.0453521
15-1211.00,Computer Systems Analysts,-0.705178,0.866101,-1.39762,497800,0.0579766
15-1211.01,Health Informatics Specialists,-0.756931,1.34044,-0.260359,497800,0.0579766
15-1212.00,Information Security Analysts,-0.753769,0.713707,-1.16329,179430,0.0428477
15-1221.00,Computer and Information Research Scientists,-0.847921,1.28597,-1.69383,38480,0.0159385
15-1231.00,Computer Network Support Specialists,-0.408228,0.36915,-1.21217,146450,0.058873
15-1232.00,Computer User Support Specialists,-0.394253,0.454754,-0.694133,697210,0.058873
15-1241.00,Computer Network Architects,-0.357186,1.22579,-1.49848,177010,0.0147981
15-1241.01,Telecommunications Engineering Specialists,-0.0310343,0.875843,-0.981214,177010,0.0147981
15-1242.00,Database Administrators,-1.02607,0.579674,-1.60253,73180,0.0335934
15-1243.00,Database Architects,-1.09614,0.82161,-1.85327,64770,0.0335934
15-1243.01,Data Warehousing Specialists,-1.4686,0.309431,-2.09642,64770,0.0335934
15-1244.00,Network and Computer Systems Administrators,-0.371274,0.903667,-1.84832,318570,0.104943
15-1251.00,Computer Programmers,-1.18749,0.519799,-2.08414,109870,0.0269139
15-1252.00,Software Developers,-1.28899,0.416873,-2.33062,1654440,0.0193563
15-1253.00,Software Quality Assurance Analysts and Testers,-1.0201,0.516497,-1.49155,199800,0.0589731
15-1254.00,Web Developers,-1.19954,0.282035,-1.61879,78860,0.0490159
15-1255.01,Video Game Designers,-1.27847,0.470494,-1.44526,111400,0.00658278
15-1299.01,Web Administrators,-1.0901,0.521436,-1.1878,439380,0.0697466
15-1299.02,Geographic Information Systems Technologists and Technicians,-0.981169,0.307853,-1.3684,439380,0.0697466
15-1299.03,Document Management Specialists,-1.06657,0.511947,-0.635341,439380,0.0697466
15-1299.05,Information Security Engineers,-0.780504,0.805916,-1.27699,439380,0.0697466
15-1299.08,Computer Systems Engineers/Architects,-0.48466,1.07194,-1.34361,439380,0.0697466
15-1299.09,Information Technology Project Managers,-0.618812,1.53552,0.153676,439380,0.0697466
15-2011.00,Actuaries,-1.45882,0.81958,-1.6326,28340,0.0367525
15-2021.00,Mathematicians,-1.6577,0.471871,-2.23305,2220,0.0610167
15-2031.00,Operations Research Analysts,-1.31642,0.963534,-1.73931,107760,0.163722
15-2041.00,Statisticians,-1.46601,0.745351,-1.81292,29800,0.0610167
15-2041.01,Biostatisticians,-1.4775,0.688717,-1.49082,29800,0.0610167
15-2051.01,Business Intelligence Analysts,-1.69693,0.330281,-1.50014,233440,0.0610167
15-2051.02,Clinical Data Managers,-1.27585,0.639504,-0.991389,233440,0.0610167
